"Product ID","Product Type",Code,Name,Brand,Description,"Cost Price","Retail Price","Sale Price","Calculated Price","Fixed Shipping Price","Free Shipping",Warranty,Weight,Width,Height,Depth,"Allow Purchases","Product Visible","Product Availability","Product Inventoried","Stock Level","Low Stock Level","Date Added","Date Modified","Category Details",Images,"Page Title","META Keywords","META Description","Product Condition","Product URL","Redirect Old URL?","Product Tax Code","Product Custom Fields"
114,P,F01001,"Riese & Muller Charger4 Touring","Riese & Muller","This Touring model comes fitted with:    Motor: Bosch Performance Line CX (smart system)   Battery: Bosch PowerTube 750 Wh Upgrade available   Gears: Shimano Deore XT, 11-speed derailleur gear system   Weight: from 28,6 kg / 58 lbs  ",0.00,0.00,4578.00,4578.00,0.0000,N,,28.6000,0.0000,0.0000,0.0000,Y,Y,"This product is ""Made to order"" please contact us for a build time.",N,0,0,18/04/2023,05/10/2024,"Category Name: Riese & Muller, Category Path: Riese & Muller|Category Name: Trekking, Category Path: Riese & Muller/Trekking|Category Name: Charger4, Category Path: Riese & Muller/Trekking/Charger4","Product Image File: F01001-Char4Tour-BlkMtt__50349.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/u/936/F01001-Char4Tour-BlkMtt__50349.jpg|Product Image File: F01001-Char4Tour-PetMtt__27277.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/s/630/F01001-Char4Tour-PetMtt__27277.jpg","Riese & Muller Charger4 Touring",,"Riese & Muller Charger4 Touring",New,/riese-muller-charger4-touring/,,,
119,P,F00731,"Riese & Muller Superdelite Mountain Touring","Riese & Muller","This Touring model comes fitted with:   Motor: Bosch Performance Line CX   Battery: Bosch PowerTube DualBattery 1125 Wh   Gears: Shimano Deore XT, 12-speed derailleur gear system   Weight: from 27,9 kg / 62 lbs  ",0.00,0.00,6300.00,6300.00,0.0000,N,,27.9000,0.0000,0.0000,0.0000,Y,Y,,N,6,0,21/04/2023,03/11/2024,"Category Name: Riese & Muller, Category Path: Riese & Muller|Category Name: e-Mountain, Category Path: Riese & Muller/e-Mountain|Category Name: Superdelite Mountain - CLEARANCE, Category Path: Riese & Muller/e-Mountain/Superdelite Mountain - CLEARANCE","Product Image File: F00731-SupDelMoun-Tour-WrmS__64729.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/v/841/F00731-SupDelMoun-Tour-WrmS__64729.jpg|Product Image File: F00731-SupDelMoun-Tour-Tdra__31246.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/q/949/F00731-SupDelMoun-Tour-Tdra__31246.jpg","Riese & Muller Superdelite Mountain Touring",,"Riese & Muller Superdelite Mountain Touring",New,/superdelite-mountain-touring/,,,
122,P,F00725,"Riese & Muller Superdelite GT Touring","Riese & Muller","This Touring model comes fitted with:   Motor: Bosch Performance Line CX   Battery: Bosch PowerTube DualBattery 1125 Wh   Gears: Shimano Deore XT, 11-speed derailleur gear   Weight: from 31,4 kg / 69,2 lbs  ",0.00,0.00,5700.00,5700.00,0.0000,N,,31.4000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,29/04/2023,03/11/2024,"Category Name: Riese & Muller, Category Path: Riese & Muller|Category Name: Trekking, Category Path: Riese & Muller/Trekking|Category Name: Superdelite - CLEARANCE, Category Path: Riese & Muller/Trekking/Superdelite - CLEARANCE","Product Image File: SuDlt_GT_tou_51_TdraGreyMtt__52429.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/e/954/SuDlt_GT_tou_51_TdraGreyMtt__52429.jpg|Product Image File: SuDlt_GT_tou_51_WrmSilvMtt__57852.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/k/842/SuDlt_GT_tou_51_WrmSilvMtt__57852.jpg","Riese & Muller Superdelite GT Touring",,"Riese & Muller Superdelite GT Touring",New,/superdelite-gt-touring/,,,
128,P,F00816,"Riese & Muller Delite GT Touring","Riese & Muller","This Touring model comes fitted with:   Motor: Bosch Performance Line CX   Battery: Bosch PowerTube 625 Wh   Gears: Shimano Deore XT, 11-speed derailleur gear system   Weight: from 28,3 kg / 62,3 lbs  ",0.00,0.00,4950.00,4950.00,0.0000,N,,28.3000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,29/04/2023,31/05/2025,"Category Name: Riese & Muller, Category Path: Riese & Muller|Category Name: Trekking, Category Path: Riese & Muller/Trekking|Category Name: Delite - CLEARANCE, Category Path: Riese & Muller/Trekking/Delite - CLEARANCE","Product Image File: F00816_Del_Tou_UrbGry__47117.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/t/287/F00816_Del_Tou_UrbGry__47117.jpg|Product Image File: F00816_Del_Tou_ChiMat__13548.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/h/731/F00816_Del_Tou_ChiMat__13548.jpg","Riese & Muller Delite GT Touring",,"Riese & Muller Delite GT Touring",New,/delite-gt-touring/,,,
134,P,F00822,"Riese & Muller Delite Mountain Touring","Riese & Muller","This Touring model comes fitted with:   Motor: Bosch Performance Line CX   Battery: Bosch PowerTube 625 Wh   Gears: Shimano Deore XT, 12-speed derailleur gear   Weight: from 25,3 kg / 56 lbs  ",0.00,0.00,5300.00,5300.00,0.0000,N,,25.3000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,29/04/2023,03/11/2024,"Category Name: Riese & Muller, Category Path: Riese & Muller|Category Name: e-Mountain, Category Path: Riese & Muller/e-Mountain|Category Name: Delite Mountain - CLEARANCE, Category Path: Riese & Muller/e-Mountain/Delite Mountain - CLEARANCE","Product Image File: F00822_Delite_Mtn_Tou_UrbGr__87493.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/b/880/F00822_Delite_Mtn_Tou_UrbGr__87493.jpg","Riese & Muller Delite Mountain Touring",,"Riese & Muller Delite Mountain Touring",New,/riese-muller-delite-mountain-touring/,,,
136,P,F00763,"Riese & Muller Homage GT Touring","Riese & Muller","This Touring model comes fitted with:   Motor: Bosch Performance Line CX   Battery: Bosch PowerTube 625 Wh Upgrade available   Gears: Shimano Deore XT, 11-speed derailleur gear   Weight: from 29,2 kg / 64,4 lbs  ",0.00,0.00,5209.00,5209.00,0.0000,N,,29.2000,0.0000,0.0000,0.0000,Y,N,,N,0,0,29/04/2023,05/10/2024,"Category Name: Riese & Muller, Category Path: Riese & Muller|Category Name: Step-Through, Category Path: Riese & Muller/Step-Through|Category Name: Homage GT, Category Path: Riese & Muller/Step-Through/Homage GT","Product Image File: F00763_Homage_Tou_PuWhi__03440.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/l/985/F00763_Homage_Tou_PuWhi__03440.jpg|Product Image File: F00763_Homage_Tou_DpSeaBlu__79490.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/g/755/F00763_Homage_Tou_DpSeaBlu__79490.jpg","Riese & Muller Homage GT Touring",,"Riese & Muller Homage GT Touring",New,/homage-gt-touring/,,,
142,P,F01160,"Riese & Muller Nevo4 Touring","Riese & Muller","This Touring model comes fitted with:   Motor: Bosch Performance Line CX (smart system)   Battery: Bosch PowerTube 625 Wh Upgrade available   Gears: Shimano Deore, 10-speed derailleur gear system   Weight: from 25,1 kg / 55,3 lbs  ",0.00,0.00,4179.00,4179.00,0.0000,N,,25.1000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,29/04/2023,05/10/2024,"Category Name: Riese & Muller, Category Path: Riese & Muller|Category Name: Step-Through, Category Path: Riese & Muller/Step-Through|Category Name: Nevo4, Category Path: Riese & Muller/Step-Through/Nevo4","Product Image File: F00910_Ne4Tou_Red__99943.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/j/577/F00910_Ne4Tou_Red__99943.jpg|Product Image File: 23_F00910_04010907_Nevo4_Tou_47_DrkGryMtt_0360__08199.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/m/116/23_F00910_04010907_Nevo4_Tou_47_DrkGryMtt_0360__08199.jpg|Product Image File: 23_F00910_04020907_Nevo4_Tou_47_PurWhi_0360__86959.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/y/338/23_F00910_04020907_Nevo4_Tou_47_PurWhi_0360__86959.jpg|Product Image File: 25_38__52667.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/g/466/25_38__52667.jpg","Riese & Muller Nevo4 Touring",,"Riese & Muller Nevo4 Touring",New,/riese-muller-nevo4-touring/,,,
144,P,F01162,"Riese & Muller Nevo4 GT Touring","Riese & Muller","This Touring model comes fitted with:   Motor: Bosch Performance Line CX (smart system)   Battery: Bosch PowerTube 625 Wh Upgrade available   Gears; Shimano Deore XT, 11-speed derailleur gear system   Weight: from 25,3 kg / 55,7 lbs  ",0.00,0.00,4483.00,4483.00,0.0000,N,,25.3000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,29/04/2023,05/10/2024,"Category Name: Riese & Muller, Category Path: Riese & Muller|Category Name: Step-Through, Category Path: Riese & Muller/Step-Through|Category Name: Nevo4, Category Path: Riese & Muller/Step-Through/Nevo4","Product Image File: F00912_Ne4GtTou_GryMet__57628.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/q/918/F00912_Ne4GtTou_GryMet__57628.jpg|Product Image File: 23_F00912_06021008_Nevo4_GT_Tou_51_PurWhi_1543__06343.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/h/800/23_F00912_06021008_Nevo4_GT_Tou_51_PurWhi_1543__06343.jpg|Product Image File: 23_F00912_06031008_Nevo4_GT_Tou_51_DynRedMtllc_1543__00090.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/a/789/23_F00912_06031008_Nevo4_GT_Tou_51_DynRedMtllc_1543__00090.jpg|Product Image File: 25_43__61290.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/v/742/25_43__61290.jpg","Riese & Muller Nevo4 GT Touring",,"Riese & Muller Nevo4 GT Touring",New,/nevo4-gt-touring/,,,
149,P,F00713,"Riese & Muller Nevo Touring","Riese & Muller","This Touring model comes fitted with:   Motor: Bosch Performance Line CX   Battery: Bosch PowerTube 500 Wh Upgrade available   Gears: Shimano Deore, 10-speed derailleur gear system   Weight: from 27,5 kg / 61 lbs  ",0.00,0.00,3619.00,3619.00,0.0000,N,,27.5000,0.0000,0.0000,0.0000,Y,N,,N,0,0,29/04/2023,05/10/2024,"Category Name: Riese & Muller, Category Path: Riese & Muller|Category Name: Step-Through, Category Path: Riese & Muller/Step-Through|Category Name: Nevo - CLEARANCE, Category Path: Riese & Muller/Step-Through/Nevo - CLEARANCE","Product Image File: F00713_NevoTou_Grey__05032.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/v/961/F00713_NevoTou_Grey__05032.jpg|Product Image File: F00713_NevoTou_Red__77402.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/z/278/F00713_NevoTou_Red__77402.jpg|Product Image File: F00713_NevoTou_Whit__39089.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/e/559/F00713_NevoTou_Whit__39089.jpg","Riese & Muller Nevo Touring",,"Riese & Muller Nevo Touring",New,/riese-muller-nevo-touring/,,,
153,P,F00717,"Riese & Muller Nevo GT Touring","Riese & Muller","This Touring model comes fitted with:   Motor: Bosch Performance Line CX   Battery: Bosch PowerTube 500 Wh Upgrade available   Gears: Shimano Deore, 10-speed derailleur gear system   Weight: from 27,9 kg / 62 lbs  ",0.00,0.00,3859.00,3859.00,0.0000,N,,27.9000,0.0000,0.0000,0.0000,Y,N,,N,0,0,29/04/2023,05/10/2024,"Category Name: Riese & Muller, Category Path: Riese & Muller|Category Name: Step-Through, Category Path: Riese & Muller/Step-Through|Category Name: Nevo - CLEARANCE, Category Path: Riese & Muller/Step-Through/Nevo - CLEARANCE","Product Image File: F00717_NevGtTou_Grey__89577.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/y/898/F00717_NevGtTou_Grey__89577.jpg|Product Image File: F00717_NevGtTou_Red__93928.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/x/859/F00717_NevGtTou_Red__93928.jpg|Product Image File: F00717_NevGtTou_White__90401.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/e/174/F00717_NevGtTou_White__90401.jpg","Riese & Muller Nevo GT Touring",,"Riese & Muller Nevo GT Touring",New,/nevo-gt-touring/,,,
